id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
1,ANrBiomass,Angola,Energy Source,Renewable,Biomass,Angola,Angola,N/A,Biomass,yes
2,ANrCoal,Angola,Energy Source,Not renewable,Coal,Angola,Angola,N/A,Coal,yes
3,ANrCoalCCS,Angola,Energy Source,Not renewable,CoalCCS,Angola,Angola,N/A,CoalCCS,yes
4,ANrCrude,Angola,Energy Source,Not renewable,Crude,Angola,Angola,N/A,Crude,yes
5,ANrDiesel,Angola,Energy Source,Not renewable,Diesel,Angola,Angola,N/A,Diesel,yes
6,ANrEBZ,Angola,Demand,N/A,Electricity,Angola,Angola,N/A,Unserved Energy,yes
7,ANrEDist,Angola,Distribution,N/A,Electricity,Angola,Angola,N/A,Heavy Industry,no
8,ANrEDistRural,Angola,Distribution,N/A,Electricity,Angola,Angola,N/A,Rural,no
9,ANrEDistUrban,Angola,Distribution,N/A,Electricity,Angola,Angola,N/A,Urban/Services/Small Industry,no
10,ANrEInd,Angola,Demand,N/A,Electricity,Angola,Angola,N/A,Heavy Industry,yes
11,ANrEPBIONU,Angola,Centralised Generation,Renewable,Biomass,Angola,Angola,New Uncommitted,Biomass,yes
12,ANrEPCOANUSC,Angola,Centralised Generation,Not renewable,Coal,Angola,Angola,New Uncommitted,Supercritical coal,yes
13,ANrEPCOCNUCCS,Angola,Centralised Generation,Not renewable,Coal,Angola,Angola,New Uncommitted,Supercritical coal w CCS,yes
14,ANrEPGASEXOC,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,Existing,SCGT,yes
15,ANrEPGASNUCC,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,CCGT,yes
16,ANrEPGASNUOC,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,OCGT,yes
17,ANrEPGASNUSO,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,Solar thermal with gas co-firing,yes
18,ANrEPGEONU,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,Geothermal,yes
19,ANrEPHYDEXHA,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,Existing,High Availability,yes
20,ANrEPHYDEXLA,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,Existing,Low Availability,yes
21,ANrEPHYDNCcam,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Committed,Cambambe II hydro,yes
22,ANrEPHYDNCcap,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Committed,Capanda II hydro,yes
